text,category
"binaha kami kahit wala namang ulan, high tide lang pala 😭","Sea Level Rise / Coastal Hazards"
"umaabot na yung tubig dagat hanggang kalsada, paano na bahay namin 😩","Sea Level Rise / Coastal Hazards"
"every year lumiit yung beach namin, parang mawawala na 😭","Sea Level Rise / Coastal Hazards"
"grabe alon kagabi, halos mabasag na yung seawall","Sea Level Rise / Coastal Hazards"
"umangat na naman tubig, parang swimming pool na yung daan","Sea Level Rise / Coastal Hazards"
"literal naglalakad kami sa dagat papuntang bahay dahil high tide","Sea Level Rise / Coastal Hazards"
"erosion na naman sa tabing-dagat, natumba na yung mga puno","Sea Level Rise / Coastal Hazards"
"nag-crack na yung sea wall, hindi na kaya alon 😩","Sea Level Rise / Coastal Hazards"
"lumubog na yung kubo namin sa tabing dagat, sayang memories 😭","Sea Level Rise / Coastal Hazards"
"bakit parang mabilis tumaas dagat ngayon, di normal 🫠","Sea Level Rise / Coastal Hazards"
"umabot na yung tubig dagat sa basketball court sa barangay","Sea Level Rise / Coastal Hazards"
"yung dati naming beach spot, puro bato na lang ngayon","Sea Level Rise / Coastal Hazards"
"grabe yung erosion, nawala na yung mga niyog sa shore","Sea Level Rise / Coastal Hazards"
"nagka-baha sa school kahit walang ulan, high tide lang","Sea Level Rise / Coastal Hazards"
"sumuko na yung mga bato sa breakwater, tuloy-tuloy na tubig","Sea Level Rise / Coastal Hazards"
"taon-taon umaatras dagat, malapit na sa bahay namin 😭","Sea Level Rise / Coastal Hazards"
"nawalan kami ng kalsada kasi nilamon ng dagat","Sea Level Rise / Coastal Hazards"
"umaangat na tubig hanggang loob ng simbahan, grabe high tide","Sea Level Rise / Coastal Hazards"
"nagpalit na coastline, hindi na siya katulad dati","Sea Level Rise / Coastal Hazards"
"binalot ng tubig yung palengke dahil sa dagat lang, walang ulan","Sea Level Rise / Coastal Hazards"
"tumaas dagat parang tsunami vibes kahit wala namang bagyo","Sea Level Rise / Coastal Hazards"
"yung dagat lumapit na halos sa pinto ng bahay 😭","Sea Level Rise / Coastal Hazards"
"parang nalulunod na yung barangay namin sa tuwing high tide","Sea Level Rise / Coastal Hazards"
"binaha ang buong eskinita dahil lang sa dagat, nakakainis","Sea Level Rise / Coastal Hazards"
"nawasak yung sea wall, grabe epekto ng alon","Sea Level Rise / Coastal Hazards"
"natibag yung lupa sa tabi ng dagat, takot baka gumuho bahay","Sea Level Rise / Coastal Hazards"
"nagdisappear na yung white sand sa beach, puro tubig na lang","Sea Level Rise / Coastal Hazards"
"nagbaha sa coastal road kahit tanghaling tapat, high tide lang 😭","Sea Level Rise / Coastal Hazards"
"unti unti nawawala yung island namin, nalulubog 😭","Sea Level Rise / Coastal Hazards"
"nagtayo na ng sandbags pero pumasok pa rin tubig","Sea Level Rise / Coastal Hazards"
"umaabot na sa second floor tubig kapag high tide","Sea Level Rise / Coastal Hazards"
"nag evacuate kami kasi bumigay yung sea wall","Sea Level Rise / Coastal Hazards"
"umabot na yung tubig sa palayan, sira na mga pananim","Sea Level Rise / Coastal Hazards"
"coastal erosion sobrang lala, halos gumuho yung barangay hall","Sea Level Rise / Coastal Hazards"
"nalusaw na yung sementeryo sa tabing dagat, nakakalungkot","Sea Level Rise / Coastal Hazards"
"nagshrink yung beachfront resort, puro tubig na","Sea Level Rise / Coastal Hazards"
"grabe epekto ng dagat, nawasak mga tindahan sa shore","Sea Level Rise / Coastal Hazards"
"nag relocate na kapitbahay kasi nilamon na dagat bahay nila","Sea Level Rise / Coastal Hazards"
"nagbaha sa plaza dahil dagat pumasok, hindi ulan","Sea Level Rise / Coastal Hazards"
"umabot na alon sa highway, trapik buong araw","Sea Level Rise / Coastal Hazards"
"nawasak mga bangka kasi sobrang taas tubig","Sea Level Rise / Coastal Hazards"
"nag relocate mga fisherfolk kasi coastal area unti unti nalulubog","Sea Level Rise / Coastal Hazards"
"every high tide parang Ondoy feels, kahit walang ulan","Sea Level Rise / Coastal Hazards"
