user_location,text,label
,"Mabuti na lang yong nagtatanong buhay at hindi naging biktima ng Covid-19, sa aking palagay kung kasalukuyang presidente ang inabot noon depopulated na ang Pilipinas. Bagyo nga lang ang nagdaan hindi alam ang gagawin pero naubos pa ang kaban ng bayan at wala pang proyekto. https://t.co/kwNBe3oh6a",1
Thank you Techno,https://t.co/B1fTpvrhHi Bagyo sa pinas bike ride,1
"Cebu City, Central Visayas","Beleno: Hindi naman natin maiiwasan ang mga bagyo pero dapat pansinin ito ng @DepEd_PH officials. I-upgrade ang classrooms, ayusin ang bentilasyon. Hindi dapat maantala ang pag-aaral. #MaynilaItoAngPilipinas",1
Republic of the Philippines,@SD_MISYU0411 Magandang araw Misyu! Halos tag-ulan na din sa Pilipinas. May bagong bagyo na dumating. Mag iingat ka palagi. Aasahan ko muli ang iyong pagbabalik sa aming bansa. Magkikitang muli tayo.,1
"Folkestone, Kent ⚡ they/them",Baka kaya ayaw nila sa Manila kasi bagyo season na🥹 https://t.co/dsMyNkgGyz,1
multistan,MATAAS ang tsansa na maging bagyo sa loob ng susunod na 24 na oras ang low pressure area (LPA) na binabantayan sa loob ng Philippine Area of Responsibility (PAR). https://t.co/tB4slyWKI0,1
,Bagong LPA posibleng maging bagyo–Pagasa https://t.co/IgflRvDnrR,1
stamaria or meycauayan Bulacan,Pinunto ng senadora bahagi ng ating laban para sa kalayaan ang pangangalaga sa kalikasan lalo’t laging dinadaanan ng mga bagyo at nakakaranas ng pagbaha ang ating bansa. | ulat ni Nimfa Asuncion BASAHIN | https://t.co/RU16bEizgY #RP1News #RadyoPilipinas #RadyoPubliko https://t.co/wYuKkYGxfa,1
UST 💛,RT @alammohaaa: ML Padin kahit may Tsunami na! Teluk mo boy! Nakakatakot magkaTsunami sa Pinas! #tsunami #lindol #sakuna #bagyo #ai #trendi…,1
,RT @TVPatrol: Tuluyan nang naging bagyo ang low pressure area sa gitna ng West Philippine Sea nang lumabas ito sa Philippine area of respon…,1
"Baguio City, Cordillera Admin",Inaasahang aabot sa 11 hanggang 19 bagyo ang mabubuo o papasok sa Philippine Area of Responsibility (PAR) ayon sa PAGASA. Basahin: https://t.co/ypVkhhigKi #DWAR1494 #AbanteRadyo https://t.co/9ttJvj55Wf,1
CCG,"Inaasahang aabot sa 11 hanggang 19 bagyo ang mabubuo o papasok sa Philippine Area of Responsibility (PAR) mula Hunyo hanggang Nobyembre ngayong taon, ayon sa PAGASA. https://t.co/PYHQuWFEKT",1
Republic of the Philippines,@maraiahqa_ @BINI_ph Wag kang mag alala bagyo pa darating jan hanggang kainin ng hangin ang bahay mo,1
,"Bagyo sa labas ng bansa lumakas pa, isa ng tropical storm ayon sa PAGASA https://t.co/heE4oCc8nv | @IRcalbayog247 @donadominguez",1
,Patuloy na palalakasin ng nasabing bagyo ang #Habagat na magdadala ng pag-ulan sa kanlurang bahagi ng bansa kabilang na ang Metro Manila. [2/3],1
,OA ng ulan bagyo level! Saan galing to tirik na tirik araw kanina 😱,1
,Tapos may bagyo pa na nagpalala ng lahat. Talk about disasters on crack. 🙃,1
,"@lorc_arc Sinuong ang bagyo at baha makita lang sila at kinabukasan fancon, hanggang ngayun nag aabang pa rin kami na ma post ito, sumama na rin ata sa bagyo na matunaw Hahaha",1
,"jgh.. parang may bagyo kanina, andaming puno ang natumba at nakakalat sa kalsada",1
"Dasmariñas, Cavite",@jstnbdy_a ga loading pa mahina wifi may bagyo wait lang PERTHSANTA WITH DR ALLY #DRallyGrandopeningxPerthSantaxDomiia,1
,may bagyo ba o habagat lang ito?🥲,1
Cagayan De Oro City,Oi impakta nung nagpunta kami sa baguio may bagyo din nun never nawalan ng kuryente sa bahay na nirent namin FYI lang ha madaming alternarte routes papuntang baguio Kenon Road lang ang sinara noon sige Ituloy mo ang kabobohan mo https://t.co/po2ki5h39w,1
,@iwonchue #seated ☺️☺️☺️ pero katakot nmn yung bagyo teh…..,1
General Santos City,GAGU ANG LAKAS NUNG DUMAANG HANGIN AT ULAN HUHU PARANG SIGNAL NO. 5 NA BAGYO 😭,1
,Maulan din ba sa inyo? Bakit yung ulan dito sa Bulacan walang katapusan? May low bagyo ba? Wala akong salita sa mga nangyayari sa bansa natin kaka-DustBia ko😭,1
"Davao City, Davao Region",Hoy Meralco at PLDT ulan lang naka ilang patay sindi ng kuryente at nawala internet at dial tone?! Paano na kung may bagyo?! 🙄 Naninira kayo ng appliances!,1
,@rietaalexander3 @EatBulaga Thank you mhie. Wala na ang bagyo pero malakas ang hangin,1
,teeehhh grabe najud imong kahangin tehhh dmd bagyo nani padung,1
,bagyo na ata to or if ever na meron man,1
"Iloilo City, Western Visayas","@Enzo_positivo Para pag nag onsite kahit may bagyo, keri lang ahahaha",1
,RT @itsceev: Alam kong tumutulong si Mika tuwing bagyo at may iba pang charitable deeds pero now ko nalaman na may mga scholars pala sya. T…,1
Purok Sais ng Brgy. Magiliw,"Commander Encina: Itong mga DRG, all through the season ng tag-ulan... na-identify na ang ""hot zones"". Mayroon tayong forward deployment. Bago pa dumating ang bagyo, nagde-deploy na tayo ng DRG sa lugar.",1
"Cebu, Philippines",HSHSHAHAHAHAHAHAHA dinaanan ng bagyo literal https://t.co/rhpHhZe1NG,1
,traffic tapos kapag nakasakay na sa motor wala namang katapusang stop light tapos timing pa ng stop kapag nasa harap ko na pagdating ang unang pumasok sa isip *nalipat ba yung sched sa ibang araw? may bagyo ba ngayon?* ako pa lang pala yung tao sa venue tsaka sumunod iba 😭🤣,1
"Lungsod ng Iloilo, Rehiyon ng",parang may pinag hahandaang bagyo HAHAHAHAHAHH,1
"Cagayan De Oro City, Northern",@SB_Senyora19 ang init siguro dun... samantalang dito samen bagyo na... aw buong araw na malakas na ulan lang pala... aha ha ha,1
,@PhilNews24 nakakabilib lang ang dswd laging silang handa pag dating ng mga bagyo at sa mga sunog na nangyayari,1
,@PhilNews24 rainy season na talaga at madalas na ang pag pasok ng mga bagyo ngayun,1
